#MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-314.9921265,145.100647,-55.39277649,18.23120117,-22.6803875,-17.56934547,-40.68275452,-8.126772881,-18.2257843,-8.99982357,-15.43805981,-23.41128159,-5.573895454,-28.47735405,4.331232548,-9.892389297,-25.22498512,3.784399748,-15.3772192,-8.563438416,1517.2809,1571.694086,21.51027744,0.005630014,2945.732188,0.136822491,0.082943565,1
-346.8911438,140.2277069,-37.41547394,12.22520924,-18.21002769,-22.58887291,-34.9107933,-5.817070484,-15.73876762,-13.32069683,-17.78626251,-22.59679413,-8.728055954,-25.66958237,4.671227455,-12.21221924,-24.00085068,2.872359276,-16.21684456,-6.331223488,1486.813476,1508.308918,21.35284622,0.006914597,2805.783034,0.119809262,0.080468145,1
-321.1868591,138.3639069,-53.14701462,15.06209469,-18.99803543,-17.95727921,-40.3878479,-6.706625462,-15.93760109,-12.08669472,-15.34431362,-22.69749069,-7.218916893,-26.26138687,6.372619152,-14.31970215,-22.66195869,4.119854927,-17.8784771,-5.206614017,1539.746398,1634.856633,21.43395706,0.006518662,3053.648202,0.122455191,0.086505146,1
-327.8787231,131.1007233,-48.03505707,20.815382,-18.51634979,-17.98246384,-37.08470154,-5.970854282,-19.98414612,-12.46944141,-17.27294159,-24.15378952,-6.342800617,-26.23833656,6.746231079,-11.84516048,-24.44857025,4.357000828,-16.26358414,-6.198774815,1608.096316,1669.782116,21.56494443,0.008011179,3192.014032,0.138787821,0.084536148,1
-321.5788879,140.3011475,-51.36903,19.7736454,-17.94712257,-20.58065796,-38.97517014,-6.755078793,-19.46930695,-12.28154564,-16.05596161,-23.70396042,-6.343170166,-27.8069191,6.239301205,-11.3992691,-25.92742538,5.316509247,-18.23404121,-6.282350063,1547.746728,1601.650403,21.64204954,0.006391432,3037.698298,0.125501231,0.080970788,1
-335.1304321,136.6036377,-43.3694725,25.358284,-14.58541012,-18.99057961,-44.2501564,-6.641845703,-18.95116806,-12.99156666,-18.1877594,-23.09275818,-8.102696419,-26.19720459,8.390686989,-16.47580719,-23.64129066,4.870770931,-18.17127991,-6.103986263,1584.88587,1628.801714,21.58647372,0.006744948,3145.314314,0.128641794,0.082312427,1
-319.1964111,135.9323578,-46.9560051,27.67267609,-20.7498436,-16.76723289,-46.17541122,-5.474029541,-19.55891037,-12.51260567,-17.96372414,-25.79551697,-7.52898407,-26.03938866,7.026583195,-13.51586342,-25.64500618,4.083706856,-17.44738579,-7.539694309,1584.430603,1694.273118,21.80491219,0.004780232,3133.481052,0.136139053,0.090629082,1
-330.2737427,133.9754944,-47.70933533,20.29976845,-15.83832169,-19.37741089,-40.31066132,-6.501983166,-19.99430656,-14.26917934,-13.82619953,-23.44806671,-9.731599808,-24.68130493,8.937488556,-16.83410454,-22.03675652,5.320576191,-19.18523216,-3.761211634,1573.839609,1646.36281,21.58653702,0.007534187,3083.614687,0.135097516,0.085973025,1
-333.2608337,150.4825134,-53.84886551,16.57535553,-13.79444408,-21.62189865,-41.77965546,-6.630695343,-16.71400261,-12.26276302,-15.04508781,-21.75008774,-10.92847919,-22.66067696,7.793073177,-21.18946457,-19.55593491,1.600370884,-18.53684235,-2.869109392,1440.617887,1512.595369,21.53249611,0.004824118,2781.666513,0.140089825,0.078854398,1
-326.1254272,140.9617767,-54.89076233,22.28043365,-17.77164841,-17.75048447,-40.16335678,-9.110974312,-17.97553062,-11.15701485,-15.83288097,-23.36611748,-7.350852013,-26.73198318,8.139343262,-15.51267433,-25.33454704,5.616984367,-19.42963409,-4.984597206,1544.494924,1630.576025,21.61489718,0.006427969,3086.248005,0.11620123,0.085395553,1
