MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],MFCC[20],MFCC[21],MFCC[22],MFCC[23],MFCC[24],MFCC[25],MFCC[26],MFCC[27],MFCC[28],MFCC[29],MFCC[30],MFCC[31],MFCC[32],MFCC[33],MFCC[34],MFCC[35],MFCC[36],MFCC[37],MFCC[38],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-358.7964172,90.15496063,12.32415104,28.39949036,0.153412074,-3.838023186,-16.30908585,-16.95759583,-4.782561779,-10.85557747,1.16732657,-3.235557079,-6.740646839,1.460339308,3.321548462,-4.18671608,-2.385760784,-4.899435997,-10.80311775,-2.16171813,-5.043126106,-4.616075993,-5.200738907,2.260980129,-0.518066525,-0.364426255,-4.272719383,-0.60471344,-4.541938305,0.080803253,-5.129493713,-2.491840363,-2.742692709,-1.475248098,-0.187332615,1.135031223,-2.111015797,-0.015947275,-2.653663397,2392.768715,2429.899382,17.03440399,0.062251203,4739.977603,0.127983386,0.142315291,1
-322.2072144,88.44081116,8.228061676,24.09986687,-2.009238958,-4.465762615,-21.3677578,-13.65179729,-5.920083523,-7.924368382,3.592449427,-4.272235394,-10.34156322,1.312942266,3.323362827,-5.048243046,-2.145040512,-7.67364645,-8.516447067,-2.50334096,-4.970638752,-5.485423565,-6.16318512,2.121178865,-1.411558509,-0.492986202,-4.81819582,-0.520279884,-2.746090889,0.545635104,-3.123039484,0.086558722,-0.654765904,1.616431594,2.038851738,3.509122133,-0.663055658,2.575114965,-0.601631105,2291.217626,2322.811739,17.86905859,0.048218571,4481.254418,0.115866133,0.127254477,1
-230.3482513,84.98000336,-43.25087738,43.71765518,-6.057441711,-33.48387527,-19.06882095,-22.16024208,-15.22828293,-15.20984268,-16.10476685,-15.07850647,-17.25770187,-6.724453449,-20.55912399,-11.42232323,-7.162547112,-19.37083817,-18.12219238,-3.063345909,-12.98154736,-8.017708778,13.79778957,9.330173492,7.757519722,15.62100697,11.26837921,3.687075377,5.848536968,7.657971382,-1.99350214,0.146214023,-1.218604565,-1.13703227,-0.527622938,-0.528275728,-5.430040836,-2.438096523,-4.466314316,1629.402737,1771.985644,24.17138893,0.005247419,3213.193563,0.147870218,0.081731031,1
-235.7913208,89.34059906,-35.51999664,27.96297646,-5.67501545,-26.76338005,-17.38297081,-21.74091339,-17.0671978,-8.687477112,-16.31010628,-16.5686779,-16.04639244,-8.526278496,-18.13327408,-12.47946453,-5.738694668,-17.07724762,-14.52957535,-1.196530938,-12.55286789,-10.79847622,7.927528858,5.984532833,4.149170399,16.90028954,13.62185192,7.918800831,6.932760715,6.036242008,-2.692118645,1.030350566,-1.088472486,-3.140596867,-2.39708972,-0.699189484,-4.343708515,-0.616428554,-3.858297586,1664.996619,1884.974448,23.28736883,0.011325912,3318.861138,0.160129174,0.100993783,1
-214.1035004,87.52732849,-32.30229187,35.73534775,-6.852690697,-34.0485878,-20.27822304,-16.72588348,-12.24791431,-11.45383453,-16.41514397,-15.20255375,-17.08428383,-5.647406578,-21.06985855,-9.035429001,-6.490516663,-17.41501236,-15.74900055,-3.884160757,-13.70795822,-9.290462494,8.907613754,5.942261696,8.870529175,17.62523651,13.50422096,9.671494484,9.915122986,9.280470848,1.528041959,3.479667902,-4.299438953,-4.852657795,-4.84665823,0.880340874,-3.492423773,-1.708645344,-7.247992516,1699.524279,1830.443236,23.6996673,0.009031559,3301.574622,0.139509513,0.092223979,1
-417.7683716,96.64788055,-5.170096397,3.991522789,-33.87568665,-8.049085617,-7.857000828,-12.0359478,-21.05626106,-9.907905579,-11.64520645,-15.74356461,-5.453617096,-9.772163391,-7.81926775,-9.820407867,-2.485786438,-9.170589447,-11.65579891,-12.66317272,-13.96631908,-2.525754929,-3.478039503,-1.852569818,-5.855778694,-2.93124795,5.839551449,0.986317098,-3.260678053,-4.559373856,-0.012859546,1.411552072,-3.091791391,-1.897378922,0.978800654,3.744206429,1.726356149,-2.909687519,0.077056505,1370.105,1808.072557,22.27526726,0.019581946,2918.049022,0.137631852,0.119783856,1
-433.8700562,106.7777939,-16.3617115,13.12952137,-31.35152245,-12.39689064,-8.562595367,-10.36533451,-20.66226387,-8.873821259,-12.13480091,-15.72230816,-6.203843117,-13.55765057,-7.703167439,-10.0826807,-4.407371521,-8.959296227,-10.83910561,-11.96461201,-12.27394199,-2.769207478,-4.076535702,-1.570106626,-7.207132339,-2.174052477,8.273034096,2.255827188,-2.489354849,-2.91760993,1.438432097,0.89259994,-3.675701141,-2.181090593,0.866282463,3.103062868,-0.591457129,-4.972208977,-1.666303992,1445.902547,1663.057923,22.34633145,0.016618233,2904.415771,0.146533172,0.105255599,1
-424.338623,107.4560623,-18.93967628,7.057936192,-32.96291351,-7.754639626,-9.508667946,-10.9507246,-18.45531082,-10.74275017,-10.6528759,-17.17158127,-6.506659031,-11.64614105,-8.055487633,-7.905210495,-5.140224457,-7.179100037,-10.57068253,-11.9647541,-9.288421631,-2.599446774,-2.871331453,-2.893111229,-10.68231487,-5.838600159,2.450684071,-3.19556427,-6.350130081,-4.199215412,2.398464441,0.977030635,-2.41598773,0.359342098,2.548219681,4.325710773,0.570590556,-3.061845541,-0.788886786,1483.170114,1782.900198,21.69183543,0.030637821,3099.814589,0.131662768,0.106588925,1
-420.6705933,46.28168488,16.81976509,23.77234459,5.454043865,8.420978546,-12.2260313,4.059744358,-18.1757412,0.852618635,-2.992376089,4.884514332,-12.82469273,7.243187428,3.286404133,-1.850596428,-0.280382544,3.691421032,-3.478209496,-0.728760898,-5.323933125,2.237124205,-7.367790222,1.271463752,-3.278773546,0.947878361,-0.59650141,0.893820047,0.228878513,1.905139089,-0.791806102,3.109275341,3.047744989,5.150105,3.945271969,3.627151966,3.645163059,1.887651443,0.987133324,2511.223619,3291.17098,18.47029701,0.058553126,5824.256816,0.086795891,0.216974741,1
-433.6408691,67.44633484,26.50203896,19.73140144,6.072551727,11.51774693,-12.61012268,4.393146515,-17.61231613,2.008138418,-5.165923119,4.12171793,-11.23272896,9.128109932,2.053643703,-2.485808611,1.572519541,1.900431275,-6.70086956,-0.056575838,-4.201252937,0.074721545,-6.182788372,0.564211547,-4.356533527,-0.048696868,-2.024070978,-1.144785047,-1.854552984,-1.870410204,-3.470143795,0.672121882,0.65525347,2.56799078,0.669983208,2.341596127,1.972375154,0.171685129,1.207315922,2537.895615,3086.565646,19.11091343,0.056183632,5576.874785,0.125130738,0.196096469,1
