MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-432.4988403,111.9700775,18.96168137,-3.617571115,-9.408120155,-20.79268456,-12.50656223,-3.323530912,-23.44776535,4.604743481,-11.62402725,1.899059892,-10.49367809,-3.157114267,-7.347239017,-13.2531414,-0.662232459,-7.616726398,-0.906785607,-2.030889034,1661.178029,1771.175934,21.52006686,0.049904317,2868.64932,0.114820802,0.089013067,1
-396.1575012,102.6885147,14.31937981,-8.349919319,-10.1035881,-21.70879745,-13.34738255,-3.458094358,-21.63384056,5.502506733,-12.54302311,-0.031629249,-9.271493912,-2.343328953,-8.476240158,-10.66512871,-0.539696634,-7.731115818,-2.385843039,-3.057656527,1662.194332,1749.664141,21.70637564,0.072866648,2816.716301,0.10902842,0.083412194,1
-409.2878418,106.7683182,21.92567635,5.476536751,-5.703423023,-23.58046532,-20.66804314,-4.882615089,-23.4352932,2.49360013,-11.79446411,0.873604715,-10.07345963,-3.824504137,-7.115503311,-13.1642952,-1.176577687,-6.295813084,-3.245873451,-2.484783649,1625.774952,1793.278685,22.14463003,0.020953709,2872.965961,0.130210805,0.103378816,1
-474.7519226,90.55615997,30.032444,12.40306664,-4.682517052,-21.88415718,-5.147899151,-1.522790074,-22.02558517,1.073463917,-9.887071609,1.055398226,-8.451841354,-3.251950502,-8.821796417,-10.10122299,-2.096150875,-5.096291065,-2.30978775,-2.856413841,1484.963455,1677.138929,21.52373294,0.159662113,2594.984308,0.12412929,0.091653263,1
-436.4761963,106.4460831,27.4643383,1.011630177,-13.61733913,-23.37057304,-1.915899634,-1.129207969,-26.04026604,4.979346752,-9.488610268,0.234600365,-10.35307312,-3.818361998,-8.176970482,-12.37446213,-1.165812731,-6.115488529,-2.959453106,-4.209048271,1677.019496,1790.651161,21.85860209,0.056438752,2904.449104,0.134642623,0.100885255,1
-430.2260132,94.2352829,17.29847527,2.85013938,-9.40058136,-19.36525917,-6.054335594,-4.130306244,-21.17737198,5.843384743,-10.46656799,-1.801453233,-7.718977451,-3.760334015,-8.095814705,-11.9212265,-1.727118015,-4.360768318,-2.389400721,-2.963320971,1550.790883,1741.948306,20.96989395,0.127339318,2799.633071,0.102445902,0.08327614,1
-410.8918457,103.1456528,18.46868324,-0.296186596,-11.05476761,-22.65492249,-5.889307022,-1.168352365,-27.75871277,6.854841232,-12.42051697,-0.571970761,-10.60651779,-4.271857738,-5.984076977,-12.77754211,-2.755099058,-3.905418634,-3.20004487,-4.357479095,1680.959806,2011.688115,22.11505127,0.043024957,3196.480671,0.123798365,0.121778553,1
-473.4868774,94.09371948,28.67888069,5.3220191,-8.564833641,-22.07405853,-7.206641197,-4.80807209,-21.73044777,-0.415112108,-9.270425797,-1.66628468,-8.386574745,-2.102847099,-9.427693367,-9.124238014,-1.89186728,-4.169578552,-3.042533636,-2.809502363,1518.259822,1710.595824,21.46643442,0.124158084,2748.766712,0.104143624,0.093151364,1
-467.0439758,93.20636749,18.97900009,-1.464493752,-13.1901865,-21.04467583,-1.80822885,-8.960454941,-22.71179199,4.886411667,-13.79663277,2.945277452,-10.03583241,-1.944569111,-7.252509594,-10.6548996,-2.454850912,-3.114764214,-3.578095913,-2.119327545,1713.612497,2209.694735,20.83202028,0.09020669,3516.178738,0.10921348,0.117035573,1
-440.1637878,84.92285919,13.82055473,0.138117924,-13.11007309,-22.1519413,-6.702307224,-6.061494827,-23.08280754,4.682397366,-10.92461681,-1.026068926,-7.540444374,-3.797256708,-7.301900864,-8.597446442,-2.480027437,-4.646068573,-1.196226358,-3.451339245,1610.366586,1792.092263,21.4172516,0.146047518,2937.865568,0.101548247,0.091005497,1
